epoch,dim_train_loss,trhd_train_loss,dim_val_loss,trhd_val_loss
1,9.925645235180856,6.504778954386711,7.456361353397369,6.370184680819511
2,7.353991869091987,6.37413427233696,7.183721792697907,6.36328353881836
3,7.478634259104728,6.405691400170326,8.055659803748132,6.409900718927384
4,7.576413398981094,6.344229912757873,8.548079693317414,6.365861383080483
5,7.513020861148834,6.375242424011231,7.859856736660004,6.351645350456238
6,7.196185192465782,6.361103400588036,6.9840983808040615,6.354405620694161
7,7.214326202869415,6.3568809032440186,6.8915761500597,6.342851144075394
8,7.005226910114288,6.421655213832855,7.121500393748283,6.337546241283417
9,7.231979858875275,6.3438074588775635,7.014385122060776,6.334940356016159
10,7.091754692792892,6.35401041507721,6.854774236679077,6.398336234688759
11,7.089941847324371,6.379418468475341,6.984152233600616,6.317025902867317
12,7.042279154062271,6.354815265536308,6.991982021927834,6.317621266841888
13,7.072693705558777,6.358437776565552,6.900234898924827,6.342604959011078
14,7.132770711183548,6.367193999886513,6.65799563229084,6.311226814985275
15,6.869085443019867,6.360090073943138,6.876056346297264,6.296769830584526
16,7.18461951315403,6.361670103669167,6.988672512769699,6.341733267903328
17,7.393194609880448,6.340726271271706,7.437356317043305,6.3233995765447615
18,7.01887791454792,6.377478814125061,7.078515499830246,6.30081821680069
19,7.1724905371665955,6.321978768706321,7.070992362499237,6.345758527517319
20,7.021277371048927,6.324747002124786,7.121296918392181,6.349743372201919
21,7.054463741183281,6.307643657922744,6.718020039796829,6.319493210315704
22,6.849676451086998,6.318105691671372,6.889600110054016,6.291527035832405
23,6.755430412292481,6.319525933265686,7.091905695199967,6.309740778803826
24,6.900545191764832,6.310403633117676,6.8016287863254545,6.30868838429451
25,6.9005112737417225,6.336874407529831,6.820613831281662,6.3098546952009205
26,6.827360051870346,6.322148609161377,7.223059618473053,6.325261497497559
27,6.892587220668792,6.323050415515899,6.806154853105545,6.345171266794205
28,6.892592668533325,6.327130091190338,7.132761871814727,6.311623138189316
29,6.976691883802414,6.33219124674797,6.703026729822159,6.308857101202011
30,6.704083287715912,6.319763490557671,6.713756036758423,6.3006379216909405
31,6.803331166505814,6.31804504096508,6.818642947077751,6.332683235406876
32,6.914800676703453,6.297462812066078,6.813851231336594,6.275314527750015
33,6.73150652050972,6.311050215363503,6.680562305450439,6.267673695087433
34,6.632148671150207,6.36425921022892,6.769964265823364,6.303789794445038
35,6.7907742947340015,6.322257536649704,6.987693554162979,6.29095556139946
36,6.821861925721168,6.274223306775093,6.825204971432686,6.28676592707634
37,6.7716872036457065,6.311220455169678,6.692935556173325,6.303509598970413
38,6.579539513587951,6.302695798873901,6.665624314546585,6.300931942462921
39,6.800596797466278,6.269690734148026,7.003222870826721,6.237152403593063
40,6.744261759519577,6.294912901520729,6.9246185421943665,6.295931631326676
41,6.725011092424393,6.282689642906189,6.498768246173858,6.295392459630966
42,6.694264295697212,6.301110339164734,6.868032568693161,6.244694170355797
43,6.77351565361023,6.26709912121296,6.557837218046188,6.26852177977562
44,6.785597032308578,6.2617981910705565,6.552099514007568,6.245488438010216
45,6.72451936006546,6.285115119814873,6.579309210181236,6.245029771327973
46,6.696483558416366,6.267842295765877,6.689941310882569,6.25211815237999
47,6.713568297028542,6.25319864153862,6.651566737890244,6.242798879742622
48,6.657191866636277,6.297512739896774,6.604303216934204,6.234176027774811
49,6.668701043725013,6.24036031961441,6.587425255775452,6.256855538487434
50,6.635256123542786,6.244382598996163,6.625949990749359,6.267477822303772
